,epoch,train loss,val loss,BLEU-1,BLEU-2,BLEU-3,BLEU-4,BEST BLEU-4
0,2,4.927443979066342,4.801220905855766,0.5452479066152425,0.339815579900195,0.202767420433664,0.1237621955583793,0.1237621955583793
1,3,4.761690881803618,4.75964210618217,0.5477848983003623,0.3439268010173215,0.2068254849821794,0.1268603631225372,0.1268603631225372
2,4,4.650510018679912,4.736336903002277,0.5505125309791614,0.3470888600948443,0.2112694276842585,0.1302290262278164,0.1302290262278164
3,5,4.562641607957505,4.708712979682587,0.5484008153568652,0.3448388945750734,0.2085970573989096,0.1285906279798606,0.1302290262278164
4,6,4.488048195838928,4.707203868050246,0.5499552726899444,0.3439874708269192,0.2066113361110402,0.1253489959536208,0.1302290262278164
5,7,4.4238557726644565,4.709302524350724,0.5523602821486706,0.349753716909456,0.2127847002038327,0.131030082437216,0.131030082437216
6,8,4.371584600983525,4.700612512024693,0.5517150357085245,0.3485728010014742,0.211606625018009,0.1302839126534568,0.131030082437216
7,9,4.329690884565318,4.6897331663647535,0.5539294041735713,0.3505006124313364,0.2137997838610511,0.1322227043908643,0.1322227043908643
8,10,4.2848904055509545,4.716264127935253,0.551055124576557,0.3469706347011065,0.2103814087489628,0.1299986441307624,0.1322227043908643
9,11,4.241730001050607,4.720069405417772,0.5500139314572304,0.3454970492029514,0.2095826647990036,0.1295084760248894,0.1322227043908643
10,12,4.204963645152255,4.7510082646735805,0.5486354504260093,0.3439537231687337,0.2076586974981075,0.126623659269769,0.1322227043908643
11,13,4.174358507172785,4.730608274351876,0.5491927087152263,0.3441915605983646,0.2088830255706295,0.1283379942543606,0.1322227043908643
12,14,4.143358617521237,4.750534123594656,0.5476382513821472,0.3410814869474969,0.2044281228800878,0.1246467309361954,0.1322227043908643
